# ecldata3.ecl
sha256: 113e52b73dfdd94408b99dd7646ac973554cef76f1b7bd6686a773da6e974ce8
header: subroutines=78 timelines=4 data_end=0x0000c440

## timeline 0 [0x0000b238, 0x0000b91c)
0x0000b238 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=19 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000b258 t=   400 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b264 t=   460 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000b270 t=   620 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(256,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b290 t=   620 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(128,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b2b0 t=   740 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b2d0 t=   740 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b2f0 t=   740 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b2fc t=   820 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b31c t=   900 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(96,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b33c t=   900 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000b348 t=   980 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(128,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b368 t=  1280 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b388 t=  1370 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b3a8 t=  1370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b3c8 t=  1460 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b3e8 t=  1600 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b3f4 t=  1610 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b414 t=  1670 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b434 t=  1670 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
