# ecldata3sp.ecl
sha256: 3d458ec6549f1d7fb6c694388adb55c010ac4cb405457ab9af6df2e13928ca5f
header: subroutines=64 timelines=1 data_end=0x0000a1b0

## timeline 0 [0x0000a134, 0x0000a1b0)
0x0000a134 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a154 t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=63 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a174 t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000a180 t=    60 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x0000a188 stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x00000148, 0x0000022c)
0x00000148 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000038(s=56,f=7.847271e-44)]
0x00000158 t=     0 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000170 t=     4 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000188 t=     8 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001a0 t=    12 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001b8 t=    16 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001d0 t=    20 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001e8 t=    20 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000004(s=4,f=5.605194e-45), 0x00000000(s=0,f=0)]
0x00000200 t=    24 op=0x0004 size=20 b08=0x00 diff=0xff pmask=0x0000  jump args=[0x00000014(s=20,f=2.802597e-44), 0xffffffe8(s=-24,f=nan)]
0x00000214 t=    24 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x00000220 sub-footer

## sub 1 [0x0000022c, 0x00000428)
0x0000022c t=     0 op=0x003b size=16 b08=0x00 diff=0xff pmask=0x0000  set_primary_animation_sequence_mode args=[0x00000000(s=0,f=0)]
0x0000023c t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000014(s=20,f=2.802597e-44)]
0x0000024c t=     0 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0x00000000(s=0,f=0)]
0x0000025c t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x42400000(s=1111490560,f=48), 0x42400000(s=1111490560,f=48)]
0x00000270 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x0000003c(s=60,f=8.407791e-44)]
0x00000280 t=     0 op=0x0083 size=16 b08=0x00 diff=0xff pmask=0x0000  set_health args=[0x00003e80(s=16000,f=2.242078e-41)]
0x00000290 t=     0 op=0x009e size=28 b08=0x00 diff=0xff pmask=0x0004  set_boss_health_segment args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00002743(s=10051,f=1.408445e-41), 0xffffffff(s=-1,f=nan)]
0x000002ac t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x000008ac(s=2220,f=3.110883e-42), 0x0000000a(s=10,f=1.401298e-44)]
0x000002c0 t=     0 op=0x0085 size=24 b08=0x00 diff=0xff pmask=0x0000  set_health_phase_transition args=[0x00000000(s=0,f=0), 0x00000834(s=2100,f=2.942727e-42), 0x0000000a(s=10,f=1.401298e-44)]
0x000002d8 t=     0 op=0x009e size=28 b08=0x00 diff=0xff pmask=0x0004  set_boss_health_segment args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00002768(s=10088,f=1.41363e-41), 0x00ffa0a0(s=16752800,f=2.347567e-38)]
0x000002f4 t=     0 op=0x003f size=20 b08=0x00 diff=0xff pmask=0x0000  set_position args=[0xc2000000(s=-1040187392,f=-32), 0x43800000(s=1132462080,f=256)]
0x00000308 t=     0 op=0x0040 size=28 b08=0x00 diff=0xff pmask=0x0000  move_to args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x43400000(s=1128267776,f=192), 0x43000000(s=1124073472,f=128)]
0x00000324 t=    60 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0x3f333333(s=1060320051,f=0.7), 0x3e99999a(s=1050253722,f=0.3), 0x43000000(s=1124073472,f=128)]
0x00000344 t=    70 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0x3f333333(s=1060320051,f=0.7), 0x3e99999a(s=1050253722,f=0.3), 0x43000000(s=1124073472,f=128)]
0x00000364 t=    80 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0x3f333333(s=1060320051,f=0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x43000000(s=1124073472,f=128)]
0x00000384 t=    90 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0xbf333333(s=-1087163597,f=-0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x42c00000(s=1119879168,f=96)]
0x000003a4 t=   100 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0xbf333333(s=-1087163597,f=-0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x42c00000(s=1119879168,f=96)]
0x000003c4 t=   110 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0xbf333333(s=-1087163597,f=-0.7), 0x3e99999a(s=1050253722,f=0.3), 0x42c00000(s=1119879168,f=96)]
0x000003e4 t=   120 op=0x004b size=28 b08=0x00 diff=0xff pmask=0x0000  set_movement_bounds args=[0x42000000(s=1107296256,f=32), 0x42400000(s=1111490560,f=48), 0x43b00000(s=1135607808,f=352), 0x43000000(s=1124073472,f=128)]
0x00000400 t=   120 op=0x0034 size=16 b08=0x00 diff=0xff pmask=0x0000  call_subroutine args=[0x00000002(s=2,f=2.802597e-45)]
0x00000410 t=   120 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x0000041c sub-footer

## sub 2 [0x00000428, 0x000007c4)
0x00000428 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000004(s=4,f=5.605194e-45)]
0x00000438 t=     0 op=0x0090 size=20 b08=0x00 diff=0xff pmask=0x0000  set_drop_counts args=[0x00000007(s=7,f=9.809089e-45), 0x00000004(s=4,f=5.605194e-45)]
0x0000044c t=     0 op=0x0087 size=20 b08=0x00 diff=0xff pmask=0x0000  start_interrupt_subroutine args=[0x00000000(s=0,f=0), 0x00000003(s=3,f=4.203895e-45)]
0x00000460 t=     0 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x0000046c t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0x3e20d97c(s=1042340220,f=0.1570796)]
0x00000480 t=     0 op=0x005a size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy args=[0x00000005(s=5,f=7.006492e-45), 0x42800000(s=1115684864,f=64), 0x43000000(s=1124073472,f=128), 0x00000546(s=1350,f=1.891753e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x000004a4 t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0xbe20d97c(s=-1105143428,f=-0.1570796)]
0x000004b8 t=     0 op=0x005a size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy args=[0x00000005(s=5,f=7.006492e-45), 0x43a00000(s=1134559232,f=320), 0x43000000(s=1124073472,f=128), 0x00000546(s=1350,f=1.891753e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x000004dc t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0xbe20d97c(s=-1105143428,f=-0.1570796)]
0x000004f0 t=     0 op=0x005a size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy args=[0x00000005(s=5,f=7.006492e-45), 0x43180000(s=1125646336,f=152), 0x435c0000(s=1130102784,f=220), 0x000002ee(s=750,f=1.050974e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x00000514 t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0x3e20d97c(s=1042340220,f=0.1570796)]
0x00000528 t=     0 op=0x005a size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy args=[0x00000005(s=5,f=7.006492e-45), 0x43680000(s=1130889216,f=232), 0x435c0000(s=1130102784,f=220), 0x000002ee(s=750,f=1.050974e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x0000054c t=   180 op=0x0043 size=24 b08=0x00 diff=0xff pmask=0x0000  set_bounded_random_velocity args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x3f800000(s=1065353216,f=1)]
0x00000564 t=   240 op=0x0060 size=44 b08=0x00 diff=0xff pmask=0x0000  fire mode=0 type=2 color=2 count=(5,5) speed=(2.2,1) angle=(0,0.3926991) flags=0x00000202
0x00000590 t=   240 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x0000059c t=   300 op=0x0043 size=24 b08=0x00 diff=0xff pmask=0x0000  set_bounded_random_velocity args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x3f800000(s=1065353216,f=1)]
0x000005b4 t=   360 op=0x0060 size=44 b08=0x00 diff=0xff pmask=0x0000  fire mode=0 type=2 color=2 count=(5,5) speed=(2.2,1) angle=(0,0.3926991) flags=0x00000202
0x000005e0 t=   360 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x000005ec t=   520 op=0x007c size=16 b08=0x00 diff=0xff pmask=0x0000  play_sound_at_enemy args=[0x00000005(s=5,f=7.006492e-45)]
0x000005fc t=   560 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x00000608 t=   560 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0xbdd67750(s=-1110018224,f=-0.1047198)]
