# ecldata4a.ecl
sha256: 797c83391c77d386abd264249224821be3d878fcf73b2bd71189dbfd3776f6cf
header: subroutines=61 timelines=2 data_end=0x0000c2bc

## timeline 0 [0x0000a2b4, 0x0000bafc)
0x0000a2b4 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a2d4 t=   400 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a2f4 t=   410 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a314 t=   420 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a334 t=   430 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a354 t=   440 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a374 t=   540 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a394 t=   550 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a3b4 t=   560 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a3d4 t=   570 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a3f4 t=   580 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a414 t=   580 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
