# ecldata4asp.ecl
sha256: 9ac983ec5a34fd607b73891d5ba95a19caadb493565b8986320c04d0de8a8df3
header: subroutines=52 timelines=1 data_end=0x0000a394

## timeline 0 [0x0000a318, 0x0000a394)
0x0000a318 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a338 t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=50 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a358 t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000a364 t=    60 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x0000a36c stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x00000118, 0x000001fc)
0x00000118 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000038(s=56,f=7.847271e-44)]
0x00000128 t=     0 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000140 t=     4 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000158 t=     8 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000170 t=    12 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000188 t=    16 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001a0 t=    20 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001b8 t=    20 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000004(s=4,f=5.605194e-45), 0x00000000(s=0,f=0)]
0x000001d0 t=    24 op=0x0004 size=20 b08=0x00 diff=0xff pmask=0x0000  jump args=[0x00000014(s=20,f=2.802597e-44), 0xffffffe8(s=-24,f=nan)]
0x000001e4 t=    24 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x000001f0 sub-footer

## sub 1 [0x000001fc, 0x000002d8)
0x000001fc t=     0 op=0x003b size=16 b08=0x00 diff=0xff pmask=0x0000  set_primary_animation_sequence_mode args=[0x00000000(s=0,f=0)]
0x0000020c t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000014(s=20,f=2.802597e-44)]
0x0000021c t=     0 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0x00000000(s=0,f=0)]
0x0000022c t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x42400000(s=1111490560,f=48), 0x42000000(s=1107296256,f=32)]
0x00000240 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x0000003c(s=60,f=8.407791e-44)]
0x00000250 t=     0 op=0x0094 size=16 b08=0x00 diff=0xff pmask=0x0000  start_spell_phase args=[0x00000000(s=0,f=0)]
0x00000260 t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x0002bf20(s=180000,f=2.522337e-40), 0x0000000d(s=13,f=1.821688e-44)]
0x00000274 t=     0 op=0x003f size=20 b08=0x00 diff=0xff pmask=0x0000  set_position args=[0x43d00000(s=1137704960,f=416), 0xc2000000(s=-1040187392,f=-32)]
0x00000288 t=     0 op=0x0040 size=28 b08=0x00 diff=0xff pmask=0x0000  move_to args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x43400000(s=1128267776,f=192), 0x43000000(s=1124073472,f=128)]
0x000002a4 t=     0 op=0x007e size=20 b08=0x00 diff=0xff pmask=0x0000  set_interrupt_slot args=[0x00000002(s=2,f=2.802597e-45), 0x00000001(s=1,f=1.401298e-45)]
0x000002b8 t=   100 op=0x0004 size=20 b08=0x00 diff=0xff pmask=0x0000  jump args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0)]
0x000002cc sub-footer

## sub 2 [0x000002d8, 0x00000ca8)
0x000002d8 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000010(s=16,f=2.242078e-44)]
0x000002e8 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000004(s=4,f=5.605194e-45)]
0x000002f8 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000003(s=3,f=4.203895e-45)]
0x00000308 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x00000078(s=120,f=1.681558e-43)]
0x00000318 t=     0 op=0x0090 size=20 b08=0x00 diff=0xff pmask=0x0000  set_drop_counts args=[0x0000000a(s=10,f=1.401298e-44), 0x00000005(s=5,f=7.006492e-45)]
0x0000032c t=     0 op=0x0083 size=16 b08=0x00 diff=0xff pmask=0x0000  set_health args=[0x00003e1c(s=15900,f=2.228065e-41)]
0x0000033c t=     0 op=0x0094 size=16 b08=0x00 diff=0xff pmask=0x0000  start_spell_phase args=[0x00000004(s=4,f=5.605194e-45)]
0x0000034c t=     0 op=0x0088 size=20 b08=0x00 diff=0xff pmask=0x0000  invoke_enemy_callback args=[0x00000005(s=5,f=7.006492e-45), 0x00000000(s=0,f=0)]
0x00000360 t=     0 op=0x0081 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_defeat_mode args=[0x00000002(s=2,f=2.802597e-45)]
0x00000370 t=     0 op=0x0082 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_end_subroutine args=[0x00000004(s=4,f=5.605194e-45)]
0x00000380 t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x00000960(s=2400,f=3.363116e-42), 0x0000000d(s=13,f=1.821688e-44)]
0x00000394 t=     0 op=0x0085 size=24 b08=0x00 diff=0xff pmask=0x0000  set_health_phase_transition args=[0x00000000(s=0,f=0), 0x000007d0(s=2000,f=2.802597e-42), 0x0000000d(s=13,f=1.821688e-44)]
0x000003ac t=     0 op=0x009e size=28 b08=0x00 diff=0xff pmask=0x0004  set_boss_health_segment args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00002768(s=10088,f=1.41363e-41), 0x00ff8080(s=16744576,f=2.346415e-38)]
0x000003c8 t=     0 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0x3f333333(s=1060320051,f=0.7), 0x3e99999a(s=1050253722,f=0.3), 0x43000000(s=1124073472,f=128)]
0x000003e8 t=    10 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0x3f333333(s=1060320051,f=0.7), 0x3e99999a(s=1050253722,f=0.3), 0x43000000(s=1124073472,f=128)]
0x00000408 t=    20 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0x3f333333(s=1060320051,f=0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x43000000(s=1124073472,f=128)]
0x00000428 t=    30 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0xbf333333(s=-1087163597,f=-0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x42c00000(s=1119879168,f=96)]
0x00000448 t=    40 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0x3e99999a(s=1050253722,f=0.3), 0xbf333333(s=-1087163597,f=-0.7), 0xbe99999a(s=-1097229926,f=-0.3), 0x42c00000(s=1119879168,f=96)]
0x00000468 t=    50 op=0x0080 size=32 b08=0x00 diff=0xff pmask=0x0000  spawn_enemy_effect args=[0x00000006(s=6,f=8.407791e-45), 0xbe99999a(s=-1097229926,f=-0.3), 0xbf333333(s=-1087163597,f=-0.7), 0x3e99999a(s=1050253722,f=0.3), 0x42c00000(s=1119879168,f=96)]
0x00000488 t=    60 op=0x004b size=28 b08=0x00 diff=0xff pmask=0x0000  set_movement_bounds args=[0x42000000(s=1107296256,f=32), 0x42400000(s=1111490560,f=48), 0x43b00000(s=1135607808,f=352), 0x43000000(s=1124073472,f=128)]
0x000004a4 t=    60 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000014(s=20,f=2.802597e-44)]
0x000004b8 t=    60 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x000004c4 t=    60 op=0x0007 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40000000(s=1073741824,f=2)]
0x000004d8 t=    60 op=0x0007 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40000000(s=1073741824,f=2)]
0x000004ec t=    60 op=0x0007 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40200000(s=1075838976,f=2.5)]
0x00000500 t=    60 op=0x0007 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40400000(s=1077936128,f=3)]
0x00000514 t=    60 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000010(s=16,f=2.242078e-44)]
0x00000528 t=    60 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000020(s=32,f=4.484155e-44)]
0x0000053c t=    60 op=0x0006 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000024(s=36,f=5.044674e-44)]
0x00000550 t=    60 op=0x0006 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000028(s=40,f=5.605194e-44)]
0x00000564 t=    60 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000002(s=2,f=2.802597e-45)]
0x00000578 t=    60 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000003(s=3,f=4.203895e-45)]
