# ecldata4b.ecl
sha256: aa4c1d45accc12faa9fab021f3ba6a19f668e1edeaafcad04293483d4b18bcc6
header: subroutines=78 timelines=2 data_end=0x0000e540

## timeline 0 [0x0000c538, 0x0000dd80)
0x0000c538 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000c558 t=   400 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c578 t=   410 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c598 t=   420 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c5b8 t=   430 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c5d8 t=   440 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c5f8 t=   540 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c618 t=   550 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c638 t=   560 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c658 t=   570 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c678 t=   580 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c698 t=   580 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000c6b8 t=   660 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c6d8 t=   670 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c6f8 t=   680 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c718 t=   690 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c738 t=   700 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c758 t=   700 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000c778 t=   760 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c798 t=   770 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c7b8 t=   780 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c7d8 t=   790 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c7f8 t=   800 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c818 t=   920 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c838 t=   920 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(256,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000c858 t=   930 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c878 t=   940 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c898 t=   950 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
