# ecldata4bsp.ecl
sha256: 007da9d02374f01292eada9a065c21b54cebbb81a5bff7a1660753498df65b51
header: subroutines=72 timelines=1 data_end=0x0000c448

## timeline 0 [0x0000c3cc, 0x0000c448)
0x0000c3cc t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000c3ec t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=70 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000c40c t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000c418 t=    60 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x0000c420 stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x00000168, 0x0000024c)
0x00000168 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000038(s=56,f=7.847271e-44)]
0x00000178 t=     0 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000190 t=     4 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001a8 t=     8 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001c0 t=    12 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000001d8 t=    16 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x00000033(s=51,f=7.146622e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
