# ecldata5.ecl
sha256: 3148f45faf78bd8211a956edcdc353be73d2781995d3dadd36bdca8132f8fe19
header: subroutines=90 timelines=1 data_end=0x0000b878

## timeline 0 [0x0000a674, 0x0000b878)
0x0000a674 t=   260 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(192,-16) rest=[0x000002bc, 0xfffffffe, 0x000003e8]
0x0000a694 t=  1100 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,128) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a6b4 t=  1110 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,144) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a6d4 t=  1120 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,160) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a6f4 t=  1130 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,176) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a714 t=  1140 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,192) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a734 t=  1150 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,208) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a754 t=  1160 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,224) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a774 t=  1170 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,240) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a794 t=  1180 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,256) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a7b4 t=  1190 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,272) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a7d4 t=  1200 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,288) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a7f4 t=  1300 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,128) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a814 t=  1310 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,144) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a834 t=  1320 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,160) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a854 t=  1330 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,176) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a874 t=  1340 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,192) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a894 t=  1350 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,208) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a8b4 t=  1360 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,224) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a8d4 t=  1370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,240) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a8f4 t=  1380 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,256) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a914 t=  1390 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,272) rest=[0x00000032, 0x00000000, 0x000003e8]
0x0000a934 t=  1400 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,288) rest=[0x00000032, 0x00000001, 0x000003e8]
0x0000a954 t=  1520 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000a978 t=  1530 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000a99c t=  1540 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000a9c0 t=  1550 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000a9e4 t=  1560 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000aa08 t=  1570 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000aa2c t=  1580 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000aa50 t=  1590 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000aa74 t=  1590 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000aa94 t=  1790 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000aab8 t=  1800 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000aadc t=  1810 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ab00 t=  1820 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ab24 t=  1830 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ab48 t=  1840 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ab6c t=  1850 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ab90 t=  1860 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000abb4 t=  1860 op=0x00 size=32 diff=0xff  spawn_enemy sub=36 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000abd4 t=  2040 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
