# ecldata7.ecl
sha256: 20b35dca3820438f0b90ae44e3362a7af27d2fc1ac7ae5888c477dc1c89a3734
header: subroutines=89 timelines=1 data_end=0x000106fc

## timeline 0 [0x00010324, 0x000106fc)
0x00010324 t=   260 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(416,48) rest=[0x000003e8, 0xfffffffe, 0x000003e8]
0x00010344 t=   320 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-32,48) rest=[0x000003e8, 0xfffffffe, 0x000003e8]
0x00010364 t=  1200 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,128) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010384 t=  1230 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,96) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000103a4 t=  1260 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,60) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000103c4 t=  1860 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,60) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000103e4 t=  1890 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,96) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010404 t=  1920 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,128) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010424 t=  2470 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,60) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010444 t=  2500 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,96) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010464 t=  2530 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,128) rest=[0x00000514, 0x00000002, 0x000003e8]
0x00010484 t=  3030 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,144) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000104a4 t=  3060 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,96) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000104c4 t=  3090 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(-32,128) rest=[0x00000514, 0x00000002, 0x000003e8]
0x000104e4 t=  3490 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x00010504 t=  3510 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000002(s=2,f=2.802597e-45)]
0x00010510 t=  3511 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x00010518 t=  3511 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
