# ecldata7sp.ecl
sha256: 7f1a847fdd7ceb5e35dfd3529a54961ab4d1c9e7607fbcfb577936465326ab0e
header: subroutines=84 timelines=1 data_end=0x00011498

## timeline 0 [0x0001141c, 0x00011498)
0x0001141c t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=3 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0001143c t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=83 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0001145c t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x00011468 t=    60 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x00011470 stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x00000198, 0x000005b8)
0x00000198 t=     0 op=0x00b8 size=16 b08=0x00 diff=0xff pmask=0x0000  set_spell_end_transition_flag args=[0x00000001(s=1,f=1.401298e-45)]
0x000001a8 t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002743(s=10051,f=1.408445e-41), 0x00000001(s=1,f=1.401298e-45)]
0x000001bc t=     0 op=0x0081 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_defeat_mode args=[0x00000000(s=0,f=0)]
0x000001cc t=     0 op=0x0082 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_end_subroutine args=[0xffffffff(s=-1,f=nan)]
0x000001dc t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000003(s=3,f=4.203895e-45)]
0x000001ec t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0003  set_float args=[0x461c8000(s=1176272896,f=10016), 0x461d8800(s=1176340480,f=10082)]
0x00000200 t=     0 op=0x0042 size=28 b08=0x00 diff=0xff pmask=0x0004  set_velocity_polar_timed args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x461c8000(s=1176272896,f=10016), 0x3e19999a(s=1041865114,f=0.15)]
0x0000021c t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x00000000(s=0,f=0)]
0x00000230 t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x00000006(s=6,f=8.407791e-45)]
0x00000244 t=     1 op=0x000f size=20 b08=0x00 diff=0xff pmask=0x0001  add_float args=[0x461c8000(s=1176272896,f=10016), 0x3e490fdb(s=1044975579,f=0.1963495)]
0x00000258 t=     1 op=0x0025 size=16 b08=0x00 diff=0xff pmask=0x0001  normalize_angle args=[0x461c8000(s=1176272896,f=10016)]
