# ecldata_al.ecl
sha256: fc669292ee41f99c9eed4e72b644c591a522deaa255ed106224f656d5431e4a8
header: subroutines=9 timelines=1 data_end=0x00001ad0

## timeline 0 [0x00001a54, 0x00001ad0)
0x00001a54 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x00001a74 t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=8 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x00001a94 t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x00001aa0 t=    70 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x00001aa8 stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x0000006c, 0x00000150)
0x0000006c t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000038(s=56,f=7.847271e-44)]
0x0000007c t=     0 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000094 t=     4 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000000ac t=     8 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000000c4 t=    12 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
