# ecldata_yk.ecl
sha256: 86037d70bb2dc44357f65eb5ee917b5a07834849fb2f528ef9930ceea71cff7a
header: subroutines=20 timelines=1 data_end=0x00005f88

## timeline 0 [0x00005ee0, 0x00005f88)
0x00005ee0 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x00005f00 t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=18 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x00005f20 t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x00005f2c t=    30 op=0x00 size=32 diff=0xff  spawn_enemy sub=19 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x00005f4c t=    30 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000003(s=3,f=4.203895e-45)]
0x00005f58 t=    70 op=0x10 size= 8 diff=0xff  set_stage_flag args=[]
0x00005f60 stop (negative time); 40 bytes remain in timeline region

## sub 0 [0x00000098, 0x0000017c)
0x00000098 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000038(s=56,f=7.847271e-44)]
0x000000a8 t=     0 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000000c0 t=     4 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000000d8 t=     8 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x000000f0 t=    12 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
0x00000108 t=    16 op=0x008b size=24 b08=0x00 diff=0xff pmask=0x0000  spawn_effect args=[0x0000003f(s=63,f=8.82818e-44), 0x00000010(s=16,f=2.242078e-44), 0x00000000(s=0,f=0)]
