case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
HARD-S0-F20606-T1,20606,0,0,Stage 1,330.10498046875,317.36370849609375,3.0,16.0,0.0,0.0,False,248,0,7,1.7607543468475342,-1.8888906240463257,1.0042218118402193,2,up_fast,857,-1.542510986328125,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,3,20603,fast_mode,8,蠢符「ナイトバグストーム」,resolved_live_spell_state
HARD-S1-F39083-T1,39083,0,1,Stage 2,307.3240966796875,432.0,4.0,32.0,1.0,1.0,False,81,0,2,-2.682037353515625,-20.049957275390625,-4.041161731632126,1,left_fast,865,-1.2235107421875,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,14,63,39020,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
HARD-S2-F45769-T1,45769,0,2,Stage 3,372.747314453125,16.0,3.0,37.0,0.0,0.0,False,416,0,0,-2.1420955657958984,-2.1420955657958984,,2,left,407,-1.125518798828125,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,10,239,45530,playfield_boundary,,,no_active_spell_at_hit
HARD-S2-F46460-T1,46460,0,2,Stage 3,376.0,427.1209716796875,3.0,22.0,0.0,0.0,False,254,0,23,-3.903094530105591,-4.11761474609375,,1,left_fast,1158,1.009124755859375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,10,240,46220,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S2-F46801-T1,46801,0,2,Stage 3,13.947306632995605,432.0,3.0,6.0,0.0,0.0,False,259,0,7,-3.552363395690918,-3.552363395690918,10.059451274908785,3,up,274,2.1390380859375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,9,37,46764,playfield_boundary,,,no_active_spell_at_hit
HARD-S2-F52333-T1,52333,0,2,Stage 3,376.0,432.0,3.0,4.0,0.0,0.0,False,519,0,29,-1.677587628364563,-1.677587628364563,14.179595947265625,1,up_left,1352,4.24365234375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,216,52117,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S2-F58392-T1,58392,0,2,Stage 3,233.69729614257812,426.3431396484375,5.0,17.0,2.0,2.0,False,330,0,10,3.413189649581909,-0.6763662099838257,-9.19699627161026,1,up_left,113,-1.377716064453125,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,7,69,58323,corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
HARD-S2-F60131-T1,60131,0,2,Stage 3,27.00416374206543,432.0,3.0,2.0,0.0,0.0,False,149,0,6,1.2976138591766357,-0.4006100594997406,9.253382682800293,2,up_right_fast,126,-1.066741943359375,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,6,175,59956,playfield_boundary;fast_mode,37,始符「エフェメラリティ137」,resolved_live_spell_state
HARD-S2-F62008-T1,62008,0,2,Stage 3,376.0,432.0,4.0,2.0,1.0,1.0,False,527,0,0,-1.4084656238555908,-1.4084656238555908,8.464466033559177,2,up_left_fast,1055,1.619964599609375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,7,149,61859,playfield_boundary;fast_mode,41,野符「義満クライシス」,resolved_live_spell_state
HARD-S2-F70394-T1,70394,0,2,Stage 3,303.0135803222656,426.56982421875,3.0,2.0,0.0,0.0,False,350,210,30,-1.909691572189331,-1.909691572189331,-6.525497333278256,3,down_left_fast,543,12.881805419921875,105,3.3410956054686975,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,77,70317,corridor_deadline_miss;action_lag_over_model,49,虚史「幻想郷伝説」,resolved_live_spell_state
HARD-S3-F74492-T1,74492,0,3,Stage 4A / Reimu,8.0,409.1669921875,4.0,14.0,1.0,1.0,False,307,0,0,-10.99029541015625,-10.99029541015625,-4.927299985505009,3,up_fast,1180,7.80682373046875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,11,77,74415,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
HARD-S3-F82904-T1,82904,0,3,Stage 4A / Reimu,25.054027557373047,404.0,3.0,21.0,0.0,0.0,False,106,0,7,1.7416613101959229,-30.458524703979492,5.629146097283694,2,left_fast,1362,4.603179931640625,,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,22,143,82761,fast_mode,,,no_active_spell_at_hit
HARD-S3-F83796-T1,83796,0,3,Stage 4A / Reimu,8.0,423.51470947265625,3.0,8.0,0.0,0.0,False,573,0,0,0.4710009694099426,-1.5260440111160278,-1.8732109683939484,1,up_fast,949,-1.2432022094726562,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,8,33,83763,playfield_boundary;corridor_deadline_miss;fast_mode,56,夢境「二重大結界」,resolved_live_spell_state
HARD-S3-F84336-T1,84336,0,3,Stage 4A / Reimu,8.0,432.0,3.0,0.0,0.0,0.0,False,547,0,0,-0.887866199016571,-0.887866199016571,1.0201984241795827,1,up_right_fast,858,2.14056396484375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,30,84306,playfield_boundary;fast_mode,56,夢境「二重大結界」,resolved_live_spell_state
HARD-S3-F95259-T1,95259,0,3,Stage 4A / Reimu,278.91510009765625,426.3431396484375,3.0,6.0,0.0,0.0,False,351,0,18,-11.94921875,-20.6748046875,,1,right,375,5.55572509765625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,14,182,95077,fast_mode,,,no_active_spell_at_hit
HARD-S3-F103082-T1,103082,0,3,Stage 4A / Reimu,8.0,416.0,3.0,5.0,0.0,0.0,False,871,0,43,2.536237955093384,-24.115962982177734,,2,up,1279,-3.24951171875,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,27,239,102843,playfield_boundary;fast_mode,64,神技「八方鬼縛陣」,resolved_live_spell_state
HARD-S3-F108187-T1,108187,0,3,Stage 4A / Reimu,58.089595794677734,432.0,3.0,2.0,0.0,0.0,False,92,0,0,1.1507956981658936,-20.393531799316406,5.903007628049288,1,up_right_fast,859,-1.211212158203125,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,8,71,108116,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S3-F110013-T1,110013,0,3,Stage 4A / Reimu,302.5658874511719,429.17156982421875,3.0,1.0,0.0,0.0,False,189,0,0,-3.446276903152466,-3.446276903152466,-6.999633701324949,1,up_left_fast,514,0.100982666015625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,7,40,109973,playfield_boundary;corridor_deadline_miss;fast_mode,68,回霊「夢想封印　侘」,resolved_live_spell_state
HARD-S3-F111688-T1,111688,0,3,Stage 4A / Reimu,40.0,432.0,3.0,1.0,0.0,0.0,False,704,0,29,3.296032667160034,-11.05549430847168,,2,right,1258,-1.686187744140625,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,12,156,111532,playfield_boundary;fast_mode,68,回霊「夢想封印　侘」,resolved_live_spell_state
HARD-S3-F112489-T1,112489,0,3,Stage 4A / Reimu,8.0,339.05462646484375,3.0,9.0,0.0,0.0,False,678,0,57,-2.025958299636841,-2.025958299636841,-12.500400149623875,2,down_right,81,0.4781494140625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,15,118,112371,playfield_boundary;corridor_deadline_miss;fast_mode,68,回霊「夢想封印　侘」,resolved_live_spell_state
HARD-S3-F117256-T1,117256,0,3,Stage 4A / Reimu,20.062442779541016,378.259521484375,4.0,15.0,1.0,1.0,False,1067,0,33,-1.206111192703247,-2.8095459938049316,-0.9759730010406926,1,down_right_fast,619,-3.027759552001953,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,51,117205,corridor_deadline_miss;pool_density_over_1000;fast_mode,72,大結界「博麗弾幕結界」,resolved_live_spell_state
HARD-S5-F124692-T1,124692,0,5,Stage 5,178.93467712402344,432.0,4.0,26.0,1.0,1.0,False,392,0,1,-13.81353759765625,-13.81353759765625,1.2336677312850952,1,right_fast,1308,21.32366943359375,,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S5-F125616-T1,125616,0,5,Stage 5,272.60980224609375,368.33770751953125,3.0,10.0,0.0,0.0,False,344,0,0,-13.1644287109375,-13.1644287109375,3.5229237810618095,1,up_fast,308,21.26521878878008,,,observed_enemy_body_overlap,global_viability_kernel_exhausted_before_hit,0,71,125545,fast_mode;enemy_body_absent_from_action_snapshot,,,no_active_spell_at_hit
HARD-S5-F130265-T1,130265,0,5,Stage 5,372.747314453125,165.63157653808594,4.0,10.0,1.0,1.0,False,220,0,0,-2.264544725418091,-2.264544725418091,-13.490937886325622,2,stay,764,0.3380584716796875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,8,167,130098,playfield_boundary;corridor_deadline_miss,,,no_active_spell_at_hit
HARD-S5-F131641-T1,131641,0,5,Stage 5,8.0,430.06549072265625,4.0,1.0,1.0,1.0,False,287,0,419,-2.6354122161865234,-2.6354122161865234,,2,up_right_fast,1395,1.6528873443603516,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,239,131402,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S5-F132050-T1,132050,0,5,Stage 5,370.3431396484375,413.75665283203125,3.0,1.0,0.0,0.0,False,515,0,5,-2.704803466796875,-23.126556396484375,-1.6501327753067017,1,up_fast,945,0.46124267578125,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,17,39,132011,corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
HARD-S5-F148867-T1,148867,0,5,Stage 5,14.505382537841797,432.0,6.0,21.0,3.0,3.0,False,991,0,33,-7.372673988342285,-7.456613063812256,,3,down_right,564,0.9626079009411618,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,36,237,148630,playfield_boundary;fast_mode,106,狂視「狂視調律(イリュージョンシーカー)」,resolved_live_spell_state
HARD-S5-F149337-T1,149337,0,5,Stage 5,130.30712890625,432.0,3.0,6.0,0.0,0.0,False,977,0,3,-5.45839786529541,-9.204440116882324,,4,up_right,154,1.1844482421875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,20,167,149170,playfield_boundary,106,狂視「狂視調律(イリュージョンシーカー)」,resolved_live_spell_state
HARD-S5-F149780-T1,149780,0,5,Stage 5,102.17631530761719,432.0,4.0,0.0,1.0,1.0,False,1022,0,84,-6.164891242980957,-7.743879795074463,,3,up_left_fast,1456,1.3851089477539062,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,54,141,149639,playfield_boundary;pool_density_over_1000;fast_mode,106,狂視「狂視調律(イリュージョンシーカー)」,resolved_live_spell_state
HARD-S5-F154179-T1,154179,0,5,Stage 5,8.0,417.9984130859375,3.0,1.0,0.0,0.0,False,473,0,8,-2.6080989837646484,-2.6080989837646484,,2,up_right,344,1.5621299743652344,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,3,239,153940,playfield_boundary;fast_mode,,,no_active_spell_at_hit
HARD-S7-F174782-T1,174782,0,7,Final B / Kaguya,372.747314453125,426.44732666015625,3.0,118.0,0.0,0.0,False,342,0,51,-17.321197509765625,-18.947540283203125,-14.113739013671875,2,down,858,-1.266265869140625,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,64,85,174697,playfield_boundary;corridor_deadline_miss,149,薬符「壺中の大銀河」,resolved_live_spell_state
HARD-S7-F176033-T1,176033,0,7,Final B / Kaguya,370.3431396484375,432.0,3.0,103.0,0.0,0.0,False,451,0,0,-2.505358934402466,-2.9263973236083984,-15.03000559225891,1,down,799,-2.643585205078125,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,5,13,176020,playfield_boundary;corridor_deadline_miss;fast_mode,149,薬符「壺中の大銀河」,resolved_live_spell_state
HARD-S7-F183959-T1,183959,0,7,Final B / Kaguya,111.89501953125,432.0,3.0,92.0,0.0,0.0,False,823,0,13,-2.762072801589966,-2.762072801589966,-8.701139032840729,1,up_fast,363,0.163360595703125,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,6,8,183951,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
HARD-S7-F186296-T1,186296,0,7,Final B / Kaguya,352.95782470703125,432.0,3.0,76.0,0.0,0.0,False,117,246,26,-4.725439548492432,-4.725439548492432,4.149968823746729,3,up_fast,176,1.4058837890625,227,7.489382687351386,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,10,4,186292,playfield_boundary,153,神宝「ブリリアントドラゴンバレッタ」,resolved_live_spell_state
HARD-S7-F204199-T1,204199,0,7,Final B / Kaguya,376.0,389.88226318359375,3.0,63.0,0.0,0.0,False,562,24,22,-4.5433268547058105,-4.5433268547058105,1.9766387939453125,1,left_fast,883,11.16590801125102,17,0.19763971138855219,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,61,204138,playfield_boundary;fast_mode,161,神宝「サラマンダーシールド」,resolved_live_spell_state
