case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
HARD-S3-F3419-T1,canonical_fresh_attempt_causal_sample,3419,,,18.99066162109375,417.00933837890625,128.0,up_right_fast,145,up_right_fast,148,0,1.0749099254608154,0.7459315061569214,-18.849242659051463,-1.312957763671875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,63,3356,corridor_deadline_miss;fast_mode,True
HARD-S3-F4404-T1,post_respawn_discovery_sample,4404,,,103.446044921875,421.65899658203125,113.0,up,21,up_left_fast,540,0,-2.408720016479492,-2.408720016479492,,1.18096923828125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,3,238,4166,,True
HARD-S3-F8983-T1,post_respawn_discovery_sample,8983,,,27.851253509521484,432.0,104.0,up_right,149,up_left_fast,138,0,-20.117250442504883,-21.253662109375,3.3931681360641957,24.218891978117178,,observed_enemy_body_overlap,global_viability_kernel_exhausted_before_hit,9,14,126,8857,playfield_boundary,True
HARD-S3-F10727-T1,post_respawn_discovery_sample,10727,56,夢境「二重大結界」,8.0,428.0,88.0,up_right_fast,145,up_fast,452,0,-2.088942766189575,-2.088942766189575,-1.1425399780273438,-1.619140625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,4,39,10688,playfield_boundary;corridor_deadline_miss;fast_mode,True
HARD-S3-F11625-T1,post_respawn_discovery_sample,11625,56,夢境「二重大結界」,22.287410736083984,235.50765991210938,72.0,up_fast,17,up_right_fast,539,0,1.530064344406128,-1.8673909902572632,-16.663514893731616,-1.520965576171875,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,2,0,,corridor_deadline_miss;fast_mode,True
HARD-S3-F12184-T1,post_respawn_discovery_sample,12184,56,夢境「二重大結界」,372.747314453125,432.0,56.0,up_fast,17,up_fast,529,0,-1.8239014148712158,-1.8239014148712158,7.851594919643771,3.188140869140625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,5,38,12146,playfield_boundary;fast_mode,True
HARD-S3-F12723-T1,post_respawn_discovery_sample,12723,56,夢境「二重大結界」,376.0,432.0,40.0,up_left_fast,81,up_left_fast,540,0,-1.8018677234649658,-1.8018677234649658,0.07500606775283813,2.127349853515625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,6,34,12689,playfield_boundary;fast_mode,True
HARD-S3-F13107-T1,post_respawn_discovery_sample,13107,56,夢境「二重大結界」,374.17083740234375,420.0,35.0,up_fast,17,up_left_fast,552,0,2.310131788253784,-1.8888601064682007,-8.944038079833653,-1.54248046875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,5,31,13076,playfield_boundary;corridor_deadline_miss;fast_mode,True
HARD-S3-F17618-T1,post_respawn_discovery_sample,17618,,,8.0,424.0,20.0,up_right_fast,145,up_fast,370,0,0.23136596381664276,-1.4377824068069458,1.923855418508845,-1.1549396514892578,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,5,74,17544,playfield_boundary;fast_mode,True
HARD-S3-F19976-T1,post_respawn_discovery_sample,19976,60,散霊「夢想封印　寂」,315.6009521484375,432.0,5.0,up_right_fast,145,up_right_fast,181,0,-2.724231004714966,-12.1865234375,3.59869384765625,5.005615234375,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,10,14,43,19933,playfield_boundary;fast_mode,True
HARD-S3-F21797-T1,post_respawn_discovery_sample,21797,,,359.0904541015625,430.44744873046875,4.0,left,69,left_fast,425,0,-3.1461544036865234,-3.1461544036865234,-3.821010651011136,-0.1309814453125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,7,240,21557,playfield_boundary;corridor_deadline_miss,True
HARD-S3-F28431-T1,post_respawn_discovery_sample,28431,,,376.0,16.0,2.0,down,37,up_left,152,0,-3.3198299407958984,-3.3198299407958984,-7.157371520996094,3.5159451811763875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,3,10,28421,playfield_boundary;corridor_deadline_miss,True
HARD-S3-F30660-T1,post_respawn_discovery_sample,30660,64,神技「八方鬼縛陣」,372.747314453125,432.0,0.0,up_fast,17,up_right_fast,839,0,-1.531011700630188,-6.961395263671875,,3.352813720703125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,3,5,240,30420,playfield_boundary;fast_mode,True
HARD-S3-F31701-T1,post_respawn_discovery_sample,31701,64,神技「八方鬼縛陣」,316.9178771972656,408.0,0.0,down_left_fast,97,left_fast,790,0,-2.607775926589966,-2.607775926589966,,0.9207763671875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,239,31462,fast_mode,True
HARD-S3-F38863-T1,post_respawn_discovery_sample,38863,68,回霊「夢想封印　侘」,12.87904167175293,338.01141357421875,1.0,down_left_fast,97,stay,675,0,-3.361328125,-3.361328125,-10.2776820460196,-1.7651033401489258,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,10,111,38752,corridor_deadline_miss;fast_mode,True
