case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
HARD-S7-F873-T1,canonical_fresh_attempt_causal_sample,873,,,376.0,417.10003662109375,128.0,up_fast,17,up_fast,275,0,-2.8863277435302734,-5.09027099609375,,-4.344970703125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,9,239,634,playfield_boundary;fast_mode,True
HARD-S7-F10927-T1,post_respawn_discovery_sample,10927,149,薬符「壺中の大銀河」,376.0,432.0,128.0,right_fast,129,left_fast,350,0,-0.558813214302063,-2.1797842979431152,5.31950799518345,-1.833404541015625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,6,22,10905,playfield_boundary;fast_mode,True
HARD-S7-F11586-T1,post_respawn_discovery_sample,11586,149,薬符「壺中の大銀河」,376.0,256.68743896484375,112.0,stay,5,down_left_fast,615,0,-2.246969223022461,-2.246969223022461,2.7900776659279085,0.029998779296875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,3,5,34,11552,playfield_boundary,True
HARD-S7-F11965-T1,post_respawn_discovery_sample,11965,149,薬符「壺中の大銀河」,10.657066345214844,380.50177001953125,97.0,down_fast,33,down_fast,639,0,-2.041325092315674,-8.611061096191406,5.443808083364145,-1.138702392578125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,6,14,58,11907,playfield_boundary;fast_mode,True
HARD-S7-F12556-T1,post_respawn_discovery_sample,12556,149,薬符「壺中の大銀河」,376.0,16.0,81.0,up_left,85,up_left,507,0,-2.216411590576172,-3.229653835296631,,-0.3460540771484375,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,5,10,238,12318,playfield_boundary,True
HARD-S7-F30872-T1,post_respawn_discovery_sample,30872,157,神宝「ブディストダイアモンド」,376.0,415.1795654296875,66.0,up_fast,17,up_left_fast,247,33,0.745587170124054,-3.4360103607177734,14.313696258690735,-3.020965576171875,3.062547613868932,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,9,133,30739,playfield_boundary;fast_mode,True
HARD-S7-F46053-T1,post_respawn_discovery_sample,46053,165,神宝「ライフスプリングインフィニティ」,202.8439178466797,384.42694091796875,51.0,up,21,stay,224,52,-2.6166741847991943,-4.7331013679504395,11.66827392578125,14.71783447265625,-3.98310345252388,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,2,7,7,46046,,True
HARD-S7-F54532-T1,post_respawn_discovery_sample,54532,169,神宝「蓬莱の玉の枝  -夢色の郷-」,8.0,416.99371337890625,35.0,up,21,down_fast,509,0,1.5106627941131592,-2.1766510009765625,3.346015460403205,-1.893808364868164,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,4,126,54406,playfield_boundary,True
HARD-S7-F55522-T1,post_respawn_discovery_sample,55522,169,神宝「蓬莱の玉の枝  -夢色の郷-」,339.52093505859375,430.3736572265625,19.0,up_left,85,left,521,0,-1.4097778797149658,-1.4097778797149658,13.573135375976562,1.71356201171875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,11,114,55408,playfield_boundary,True
HARD-S7-F56570-T1,post_respawn_discovery_sample,56570,169,神宝「蓬莱の玉の枝  -夢色の郷-」,8.0,422.943115234375,5.0,right_fast,129,down_right_fast,467,0,0.008404538035392761,-0.2869828939437866,13.107357025146484,-1.56341552734375,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,5,90,56480,playfield_boundary;fast_mode,True
HARD-S7-F60052-T1,post_respawn_discovery_sample,60052,173,「永夜返し  -上つ弓張-」,368.0,429.70001220703125,6.0,up,21,up_right_fast,912,0,-3.306445360183716,-3.306445360183716,16.0,-1.90545654296875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,14,163,59889,playfield_boundary,True
HARD-S7-F62672-T1,post_respawn_discovery_sample,62672,177,「永夜返し  -子の三つ-」,8.0,425.49462890625,6.0,up_fast,17,left_fast,1097,0,-3.1902015209198,-3.1902015209198,,-0.4040393829345703,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,2,239,62433,playfield_boundary;pool_density_over_1000;fast_mode,True
HARD-S7-F68786-T1,post_respawn_discovery_sample,68786,185,「永夜返し  -寅の三つ-」,368.0,426.96014404296875,6.0,left_fast,65,left_fast,781,0,-2.078997850418091,-2.321002244949341,,-2.121002197265625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,6,208,68578,fast_mode,True
