case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S7-F1441-T1,canonical_fresh_attempt_causal_sample,1441,,,335.306884765625,414.3431396484375,128.0,stay,1,up_right_fast,316,0,1.7858703136444092,1.703027606010437,-10.13743841799121,2.0552978515625,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,0,3,40,1401,corridor_deadline_miss,True
LUN-S7-F2891-T1,post_respawn_discovery_sample,2891,,,295.4615478515625,380.2598876953125,122.0,right_fast,129,right_fast,407,0,-1.4242432117462158,-1.4242432117462158,-11.743758272827641,2.52886962890625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,2,25,2866,corridor_deadline_miss;fast_mode,True
LUN-S7-F12000-T1,post_respawn_discovery_sample,12000,150,薬符「壺中の大銀河」,372.50604248046875,425.8310546875,128.0,stay,5,stay,662,0,-2.8414669036865234,-2.9050650596618652,-13.959750060551961,-1.552337646484375,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,9,0,,playfield_boundary;corridor_deadline_miss,True
LUN-S7-F12832-T1,post_respawn_discovery_sample,12832,150,薬符「壺中の大銀河」,371.36126708984375,427.34490966796875,116.0,left_fast,65,up_fast,301,0,-2.5090694427490234,-2.5090694427490234,2.363770078009159,2.529327392578125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,4,78,12754,fast_mode,True
LUN-S7-F13204-T1,post_respawn_discovery_sample,13204,150,薬符「壺中の大銀河」,373.6036376953125,400.5531005859375,110.0,down_fast,33,down,494,0,-2.155596971511841,-2.155596971511841,-6.751934338263183,0.8273866438800589,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,23,0,,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S7-F18413-T1,post_respawn_discovery_sample,18413,,,11.485162734985352,428.9418029785156,109.0,up_fast,17,up_fast,1144,0,-1.1203892230987549,-1.1203892230987549,,0.124725341796875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,3,8,72,18341,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F18996-T1,post_respawn_discovery_sample,18996,,,10.240535736083984,427.4000244140625,97.0,up_right,149,up_right_fast,1115,0,-1.7214319705963135,-1.7214319705963135,,1.1533393859863281,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,8,239,18757,playfield_boundary;pool_density_over_1000,True
LUN-S7-F19577-T1,post_respawn_discovery_sample,19577,,,372.4313049316406,431.413818359375,92.0,left_fast,65,up_left_fast,1135,0,-0.598925769329071,-0.7453664541244507,,-0.39892578125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,9,238,19339,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F20253-T1,post_respawn_discovery_sample,20253,154,神宝「ブリリアントドラゴンバレッタ」,63.63104248046875,429.5686340332031,88.0,left_fast,65,left_fast,106,230,-8.050349833705365,-8.050349833705365,1.7136241682258042,14.66892597628178,3.8174918370113406,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,25,0,,playfield_boundary;fast_mode,True
LUN-S7-F20813-T1,post_respawn_discovery_sample,20813,154,神宝「ブリリアントドラゴンバレッタ」,38.93539810180664,426.06573486328125,76.0,up,21,up,120,220,-5.179386194903342,-7.603558437604182,7.151665471998541,28.61834511495647,-6.003558437604194,observed_laser_overlap,robust_action_set_exhausted_before_hit,4,7,0,,,True
LUN-S7-F21199-T1,post_respawn_discovery_sample,21199,154,神宝「ブリリアントドラゴンバレッタ」,115.56535339355469,431.05169677734375,62.0,right_fast,129,right_fast,107,220,-7.7750054945592355,-7.7750054945592355,6.502393494268597,39.540068005880144,4.30098301093741,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,9,0,,playfield_boundary;fast_mode,True
LUN-S7-F28834-T1,post_respawn_discovery_sample,28834,158,神宝「ブディストダイアモンド」,271.2056884765625,427.84698486328125,60.0,right_fast,129,right_fast,225,66,-3.378079942248316,-7.977433438374618,,1.2754019879861636,-6.777433438374618,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,6,188,124,28710,fast_mode,True
LUN-S7-F32563-T1,post_respawn_discovery_sample,32563,,,368.69287109375,426.0501708984375,50.0,up_right,149,up_fast,650,0,-2.4547481536865234,-2.4547481536865234,12.241226196289062,-0.697021484375,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,4,33,32530,,True
LUN-S7-F36322-T1,post_respawn_discovery_sample,36322,162,神宝「サラマンダーシールド」,44.704551696777344,429.84149169921875,45.0,up_fast,17,up_right_fast,566,28,-7.780937936956251,-8.199998278307433,,9.022665791320106,-6.999997246195629,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,10,10,165,36157,playfield_boundary;fast_mode,True
LUN-S7-F37079-T1,post_respawn_discovery_sample,37079,162,神宝「サラマンダーシールド」,364.0,401.40185546875,39.0,left_fast,65,down_left_fast,546,28,-3.9719320302332592,-7.629326112081008,-7.107355535030365,71.3893003502419,-6.429326112081008,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,6,6,88,36991,corridor_deadline_miss;fast_mode,True
LUN-S7-F37380-T1,post_respawn_discovery_sample,37380,162,神宝「サラマンダーシールド」,43.4901008605957,330.93218994140625,24.0,up_right_fast,145,up_right,440,32,-2.825726270675659,-8.199988484172566,5.408618927001953,-1.5443954467773438,3.687814950031788,observed_bullet_overlap,missing_pre_hit_alive_decision,0,0,0,,fast_mode,True
LUN-S7-F37909-T1,post_respawn_discovery_sample,37909,162,神宝「サラマンダーシールド」,12.316142082214355,374.5440673828125,11.0,stay,5,down_fast,524,28,-6.109213891687188,-7.9432790207407304,-10.068171967988874,59.126384259197664,-4.723116779142822,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,17,19,89,37820,corridor_deadline_miss,True
LUN-S7-F38281-T1,post_respawn_discovery_sample,38281,162,神宝「サラマンダーシールド」,36.44418716430664,373.7587890625,0.0,right_fast,129,right_fast,524,32,-5.742937626641114,-8.199998764046573,-29.192393566595342,8.712120056152344,-5.853588446808079,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,12,42,66,38215,corridor_deadline_miss;fast_mode,True
LUN-S7-F38854-T1,post_respawn_discovery_sample,38854,162,神宝「サラマンダーシールド」,74.46006774902344,432.0,10.0,left_fast,65,up_right,568,28,-2.304714033317914,-7.6589518169438335,11.993014320477199,10.2252440722967,-5.81733212565514,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,3,3,49,38805,playfield_boundary;fast_mode,True
LUN-S7-F39158-T1,post_respawn_discovery_sample,39158,162,神宝「サラマンダーシールド」,349.50799560546875,389.6318359375,0.0,down_fast,33,up_fast,380,32,-2.9020297996195112,-7.44054148949011,-33.939771904424134,99.61229138867752,-5.933363891516359,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,3,3,3,39155,corridor_deadline_miss;fast_mode,True
LUN-S7-F44874-T1,post_respawn_discovery_sample,44874,166,神宝「ライフスプリングインフィニティ」,21.42099952697754,97.79495239257812,12.0,up_left_fast,81,down_right_fast,136,52,-4.537336349487305,-6.714167694798927,-41.69700578091914,-1.2591934204101562,0.006230251366259765,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,8,0,,corridor_deadline_miss;fast_mode,True
LUN-S7-F45268-T1,post_respawn_discovery_sample,45268,166,神宝「ライフスプリングインフィニティ」,166.3736572265625,315.6031494140625,1.0,down,37,up_right_fast,405,52,-4.95278481351634,-7.97353458404541,,11.547836303710938,-2.951693580337135,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,9,9,92,45176,,True
LUN-S7-F45644-T1,post_respawn_discovery_sample,45644,166,神宝「ライフスプリングインフィニティ」,236.74961853027344,427.6495361328125,2.0,up_fast,17,up_fast,311,52,-0.49104613065719604,-1.9243825674057007,,-1.5780029296875,6.385176996458215,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,4,18,74,45570,fast_mode,True
LUN-S7-F46304-T1,post_respawn_discovery_sample,46304,166,神宝「ライフスプリングインフィニティ」,160.81658935546875,427.96197509765625,0.0,up_right_fast,145,left,476,52,-3.0768946945316107,-5.852707567875034,,-0.203369140625,6.212221086510713,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,7,239,46065,fast_mode,True
LUN-S7-F46930-T1,post_respawn_discovery_sample,46930,166,神宝「ライフスプリングインフィニティ」,158.38925170898438,430.210693359375,1.0,stay,5,up_left,447,52,-3.187063694000244,-6.222631600278904,,-0.476348876953125,2.3213363681610133,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,4,239,239,46691,playfield_boundary,True
LUN-S7-F47228-T1,post_respawn_discovery_sample,47228,166,神宝「ライフスプリングインフィニティ」,233.9801483154297,431.080078125,0.0,up,21,up_left,394,52,-1.8338834047317505,-7.1770951627512805,,-0.4833984375,6.1441212353177335,observed_bullet_overlap,missing_pre_hit_alive_decision,0,0,0,,playfield_boundary,True
LUN-S7-F50867-T1,post_respawn_discovery_sample,50867,170,神宝「蓬莱の玉の枝  -夢色の郷-」,372.84332275390625,421.76019287109375,17.0,up_left_fast,81,up_left_fast,538,0,-2.852252244949341,-2.852252244949341,-2.455545776061861,0.516204833984375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,5,0,,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S7-F51281-T1,post_respawn_discovery_sample,51281,170,神宝「蓬莱の玉の枝  -夢色の郷-」,41.76261520385742,429.52423095703125,1.0,stay,5,stay,602,0,-1.2625877857208252,-2.144926071166992,1.3784606712889378,-1.8620834350585938,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,8,0,,playfield_boundary,True
LUN-S7-F52989-T1,post_respawn_discovery_sample,52989,170,神宝「蓬莱の玉の枝  -夢色の郷-」,13.135787010192871,427.18182373046875,3.0,up,21,down,562,0,-1.2628662586212158,-1.2628662586212158,,2.442596435546875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,5,173,52816,,True
LUN-S7-F53594-T1,post_respawn_discovery_sample,53594,170,神宝「蓬莱の玉の枝  -夢色の郷-」,376.0,402.85284423828125,2.0,stay,5,up_left_fast,552,0,-1.0802795886993408,-1.476629376411438,0.7838540347634613,-1.19378662109375,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,13,0,,playfield_boundary,True
LUN-S7-F54020-T1,post_respawn_discovery_sample,54020,170,神宝「蓬莱の玉の枝  -夢色の郷-」,12.041521072387695,426.52154541015625,1.0,stay,5,stay,558,0,-1.509075403213501,-1.6554855108261108,1.4093999707458735,1.40838623046875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,2,6,82,53938,,True
LUN-S7-F54495-T1,post_respawn_discovery_sample,54495,170,神宝「蓬莱の玉の枝  -夢色の郷-」,24.302818298339844,423.8929443359375,3.0,right_fast,129,right_fast,565,0,-0.7836343050003052,-3.084002733230591,-19.159179868742314,-0.08166122436523438,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,7,9,73,54422,corridor_deadline_miss;fast_mode,True
LUN-S7-F54962-T1,post_respawn_discovery_sample,54962,170,神宝「蓬莱の玉の枝  -夢色の郷-」,11.4291353225708,420.46527099609375,2.0,right_fast,129,right_fast,572,0,-2.3169918060302734,-2.3169918060302734,-0.5263098163552229,2.9581084705247087,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,9,102,54860,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S7-F58300-T1,post_respawn_discovery_sample,58300,174,「永夜返し  -待宵-」,366.17535400390625,431.86895751953125,15.0,left_fast,65,stay,1145,0,-4.086749076843262,-4.086749076843262,,-3.58709716796875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,2,7,240,58060,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F60870-T1,post_respawn_discovery_sample,60870,178,「永夜返し  -子の四つ-」,288.9638671875,369.54608154296875,15.0,up_left_fast,81,left,997,0,-5.141350746154785,-5.141350746154785,-49.34485377949741,3.253626437022772,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,6,34,240,60630,corridor_deadline_miss;fast_mode,True
LUN-S7-F66806-T1,post_respawn_discovery_sample,66806,186,「永夜返し  -寅の四つ-」,345.86407470703125,431.58197021484375,15.0,up_right_fast,145,up_fast,1015,0,-3.3669490814208984,-3.3669490814208984,,2.4602993970444778,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,9,54,66752,playfield_boundary;pool_density_over_1000;fast_mode,True
