case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S7-F8398-T1,canonical_fresh_attempt_causal_sample,8398,,,265.17889404296875,419.1910705566406,128.0,down_right,165,right_fast,319,0,16.379159927368164,3.6281075477600098,,18.76621835959746,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,0,,,True
LUN-S7-F8909-T1,post_respawn_discovery_sample,8909,,,367.4732666015625,420.74432373046875,122.0,up_right_fast,145,stay,270,0,-2.971209764480591,-2.971209764480591,,0.057220458984375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,5,0,,fast_mode,True
LUN-S7-F11931-T1,post_respawn_discovery_sample,11931,150,薬符「壺中の大銀河」,376.0,407.36541748046875,118.0,left_fast,65,left_fast,423,0,-2.5423641204833984,-2.5423641204833984,,3.6517333984375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,8,0,,playfield_boundary;fast_mode,True
LUN-S7-F18387-T1,post_respawn_discovery_sample,18387,,,9.504634857177734,16.060855865478516,117.0,down_fast,33,down_fast,1079,0,-1.816503643989563,-1.816503643989563,,5.984294621624064,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,3,0,,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F19119-T1,post_respawn_discovery_sample,19119,,,8.409337043762207,425.12725830078125,112.0,up_right_fast,145,up_right_fast,1145,0,-0.007090762257575989,-1.6539357900619507,,-0.184600830078125,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,0,14,0,,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F20135-T1,post_respawn_discovery_sample,20135,,,18.4408016204834,424.57354736328125,107.0,up_left_fast,81,up_fast,1180,0,-1.8809692859649658,-2.4781246185302734,,-1.5034360885620117,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,4,6,0,,pool_density_over_1000;fast_mode,True
LUN-S7-F20622-T1,post_respawn_discovery_sample,20622,,,369.01495361328125,423.84271240234375,104.0,up_fast,17,up_fast,1171,0,0.47123414278030396,-1.350896954536438,,-2.463836669921875,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,3,6,0,,pool_density_over_1000;fast_mode,True
LUN-S7-F21446-T1,post_respawn_discovery_sample,21446,,,11.252691268920898,428.21142578125,91.0,up_right_fast,145,up_fast,1211,0,-1.6362841129302979,-1.6362841129302979,,0.207855224609375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,2,7,0,,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F23644-T1,post_respawn_discovery_sample,23644,154,神宝「ブリリアントドラゴンバレッタ」,136.27099609375,425.2593994140625,87.0,up_fast,17,up_fast,127,251,-2.4770259857177734,-7.893208749471283,,7.58074951171875,11.236505390557493,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,44,0,,fast_mode,True
LUN-S7-F30925-T1,post_respawn_discovery_sample,30925,158,神宝「ブディストダイアモンド」,42.454071044921875,427.294189453125,89.0,up_fast,17,stay,236,33,-3.2397098541259766,-3.2397098541259766,,3.9861235871167624,3.8572844812916998,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,10,0,,fast_mode,True
LUN-S7-F31421-T1,post_respawn_discovery_sample,31421,158,神宝「ブディストダイアモンド」,191.63150024414062,425.3211669921875,74.0,up_right_fast,145,down_left_fast,205,33,-2.413836717605591,-6.356027624970528,,2.0074783432240575,6.343711600796844,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,6,0,,fast_mode,True
