case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S7-F8494-T1,canonical_fresh_attempt_causal_sample,8494,,,273.7117004394531,302.03662109375,128.0,left_fast,65,down_left_fast,634,0,2.763897657394409,0.2505435049533844,-54.69985874328478,1.736358642578125,,sensor_gap_or_unmodeled_hazard,robust_action_set_exhausted_before_hit,0,3,0,,corridor_deadline_miss;fast_mode,True
LUN-S7-F12581-T1,post_respawn_discovery_sample,12581,150,薬符「壺中の大銀河」,24.97056007385254,151.3282470703125,113.0,right_fast,129,down_right_fast,672,0,-1.3824437856674194,-1.3824437856674194,-28.53039224581898,-1.055776596069336,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,6,0,,corridor_deadline_miss;fast_mode,True
LUN-S7-F13284-T1,post_respawn_discovery_sample,13284,150,薬符「壺中の大銀河」,8.142196655273438,256.33831787109375,98.0,right_fast,129,up_right_fast,509,0,-1.508180022239685,-1.508180022239685,,3.4101898590556754,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,17,0,,playfield_boundary;fast_mode,True
LUN-S7-F19897-T1,post_respawn_discovery_sample,19897,,,12.126893997192383,426.22271728515625,88.0,up_fast,17,up_right,1153,0,-1.2954628467559814,-1.2954628467559814,,-0.884979248046875,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,5,0,,pool_density_over_1000;fast_mode,True
LUN-S7-F20922-T1,post_respawn_discovery_sample,20922,,,373.3846130371094,421.3294677734375,82.0,up_fast,17,up_fast,1067,0,1.0201842784881592,-2.8463497161865234,0.9167800545692444,-2.563507080078125,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,4,0,,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F22435-T1,post_respawn_discovery_sample,22435,154,神宝「ブリリアントドラゴンバレッタ」,312.719970703125,425.039306640625,77.0,up_left_fast,81,stay,111,190,-2.0442256927490234,-5.825027287049107,,4.8973388671875,0.32538747378958366,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,15,33,82,22353,fast_mode,True
LUN-S7-F27042-T1,post_respawn_discovery_sample,27042,,,367.348388671875,431.3389892578125,74.0,stay,5,left,422,0,-1.990514874458313,-1.990514874458313,,-0.5645751953125,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,2,6,0,,playfield_boundary,True
LUN-S7-F29182-T1,post_respawn_discovery_sample,29182,158,神宝「ブディストダイアモンド」,261.34454345703125,426.6387939453125,69.0,up,21,stay,210,33,-1.653387188911438,-2.592505584741989,,1.240020751953125,1.6994682566299524,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,119,0,,,True
LUN-S7-F30244-T1,post_respawn_discovery_sample,30244,158,神宝「ブディストダイアモンド」,105.31837463378906,427.2069091796875,63.0,stay,1,stay,243,33,-2.247088670730591,-2.558001756668091,,3.1551513671875,9.139461658098455,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,11,0,,,True
LUN-S7-F32726-T1,post_respawn_discovery_sample,32726,,,216.26321411132812,133.036865234375,53.0,left_fast,64,left_fast,0,0,9999.0,2.6390480995178223,,,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,0,,fast_mode,True
