case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F5028-T1,5028,0,0,Stage 1,8.658077239990234,389.15509033203125,3.0,44.0,2.0,True,290,0,0,12.510821342468262,-0.7566415071487427,-12.218559587948377,1,down_fast+deathbomb,1286,16.049171447753906,,,sensor_gap_or_unmodeled_hazard,playfield_boundary;corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S0-F18320-T1,18320,0,0,Stage 1,372.0,426.442626953125,1.0,49.0,1.0,True,590,0,0,2.653759717941284,-1.7272390127182007,-11.010327832096529,1,left_fast+deathbomb,656,-1.025238037109375,,,observed_bullet_overlap,playfield_boundary;corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S1-F21214-T1,21214,0,1,Stage 2,365.1449279785156,425.65814208984375,0.0,86.0,0.0,False,183,0,0,2.0856733322143555,-1.390569806098938,-22.591549994011345,2,up_left_fast,629,-1.10772705078125,,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S1-F22343-T1,22343,0,1,Stage 2,240.11495971679688,75.45347595214844,4.0,95.0,2.0,True,353,0,519,17.21331787109375,1.297228455543518,-26.10614983660072,2,down_left+deathbomb,368,17.074344824908255,,,sensor_gap_or_unmodeled_hazard,corridor_deadline_miss,,,unresolved_current_trace_schema
LUN-S1-F24595-T1,24595,0,1,Stage 2,69.82966613769531,432.0,2.0,98.0,2.0,True,281,0,31,9.197145462036133,-0.769903302192688,-13.142593273582513,3,up+deathbomb,870,12.524463030996388,,,sensor_gap_or_unmodeled_hazard,playfield_boundary;corridor_deadline_miss,,,unresolved_current_trace_schema
LUN-S1-F30969-T1,30969,0,1,Stage 2,117.44390869140625,402.79449462890625,0.0,105.0,0.0,False,414,0,0,21.27046012878418,1.3938852548599243,-13.766407279187266,2,down_left_fast,1247,21.315663178524296,,,sensor_gap_or_unmodeled_hazard,corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S2-F47372-T1,47372,0,2,Stage 3,198.7180633544922,416.6497802734375,3.0,128.0,2.0,True,281,0,1,-2.4265804290771484,-2.4265804290771484,-19.77779889039258,1,up_fast+deathbomb,50,4.2232666015625,,,modeled_committed_prefix_collision,corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S2-F48301-T1,48301,0,2,Stage 3,332.37896728515625,402.81878662109375,1.0,128.0,1.0,True,294,0,0,1.9997069835662842,-1.9885915517807007,-35.896531331362766,1,up_left_fast+deathbomb,397,-1.64215087890625,,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S2-F49172-T1,49172,0,2,Stage 3,375.41156005859375,398.56427001953125,0.0,128.0,0.0,False,836,0,0,-3.513201951980591,-3.513201951980591,-29.11549024529328,3,up_right_fast,1121,-0.5885009765625,,,observed_bullet_overlap,playfield_boundary;corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
LUN-S2-F50035-T1,50035,0,2,Stage 3,36.22452926635742,431.720947265625,3.0,113.0,2.0,True,707,0,0,-3.121752977371216,-3.121752977371216,-31.61952775995981,2,down_right_fast+deathbomb,119,1.0782470703125,,,modeled_committed_prefix_collision,playfield_boundary;corridor_deadline_miss;fast_mode,,,unresolved_current_trace_schema
