case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F1057-T1,1057,0,0,Stage 1,18.700185775756836,422.25982666015625,3.0,0.0,0.0,0.0,False,266,0,3,-1.4844496250152588,-1.4844496250152588,,1,up_fast,404,0.12955474853515625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,fast_mode,,,no_active_spell_at_hit
LUN-S1-F21717-T1,21717,0,1,Stage 2,10.525734901428223,24.154338836669922,3.0,45.0,0.0,0.0,False,71,0,0,-3.0900719165802,-3.0900719165802,,1,down_fast,78,1.2873525619506836,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S1-F23408-T1,23408,0,1,Stage 2,363.31298828125,16.22248077392578,5.0,69.0,2.0,2.0,False,120,0,0,0.867059588432312,0.867059588432312,,1,down_right,181,1.473358154296875,,,sensor_gap_or_unmodeled_hazard,robust_action_set_exhausted_before_hit,6,0,,,,,no_active_spell_at_hit
LUN-S1-F23908-T1,23908,0,1,Stage 2,8.0,50.93107986450195,4.0,58.0,1.0,1.0,False,506,0,0,-1.4081127643585205,-1.4081127643585205,,2,up,717,-1.2081127166748047,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,12,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S1-F24459-T1,24459,0,1,Stage 2,297.8190002441406,428.4921875,3.0,51.0,0.0,0.0,False,254,0,291,20.504257202148438,8.913333892822266,,3,down_right,62,21.38190142692717,,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F31227-T1,31227,0,1,Stage 2,94.04055786132812,418.3819580078125,3.0,59.0,0.0,0.0,False,560,0,0,0.541437029838562,0.541437029838562,-19.94716141850118,2,up_right_fast,1192,1.5870361328125,,,sensor_gap_or_unmodeled_hazard,robust_action_set_exhausted_before_hit,8,0,,corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S2-F44344-T1,44344,0,2,Stage 3,24.775848388671875,422.78790283203125,3.0,72.0,0.0,0.0,False,302,0,21,-1.4923757314682007,-1.4923757314682007,,1,stay,954,1.2165870666503906,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,,,,no_active_spell_at_hit
LUN-S2-F45188-T1,45188,0,2,Stage 3,8.205775260925293,423.1627197265625,3.0,64.0,0.0,0.0,False,592,0,11,-3.593480348587036,-3.593480348587036,,1,up_right_fast,889,2.47003173828125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F46003-T1,46003,0,2,Stage 3,16.73604393005371,418.29949951171875,3.0,50.0,0.0,0.0,False,441,0,3,-1.4319356679916382,-2.106820583343506,,1,up_right_fast,1142,-1.7604122161865234,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,13,0,,fast_mode,,,no_active_spell_at_hit
LUN-S2-F46422-T1,46422,0,2,Stage 3,33.02170944213867,418.80438232421875,3.0,34.0,0.0,0.0,False,336,0,30,-1.3347752094268799,-2.9390921592712402,,1,up_left,1026,2.726137161254883,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,12,0,,fast_mode,,,no_active_spell_at_hit
LUN-S2-F51505-T1,51505,0,2,Stage 3,363.7357177734375,415.884521484375,3.0,26.0,0.0,0.0,False,564,0,32,-1.7202637195587158,-1.7202637195587158,,2,down_left_fast,1357,-0.836669921875,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,0,,,,,no_active_spell_at_hit
LUN-S2-F51990-T1,51990,0,2,Stage 3,373.9215393066406,425.2977294921875,3.0,16.0,0.0,0.0,False,315,0,0,-1.9432861804962158,-1.9432861804962158,,1,up_fast,1134,1.6137705267644862,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F52391-T1,52391,0,2,Stage 3,375.0244140625,423.71435546875,3.0,8.0,0.0,0.0,False,620,0,20,-1.7634460926055908,-1.7634460926055908,,1,up_fast,1278,0.19659423828125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S2-F57317-T1,57317,0,2,Stage 3,14.222041130065918,339.0181884765625,5.0,33.0,2.0,2.0,False,444,0,10,2.2420897483825684,-1.5716429948806763,,2,down_fast,755,-0.6456232070922852,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,11,0,,fast_mode,,,no_active_spell_at_hit
LUN-S2-F58929-T1,58929,0,2,Stage 3,52.83816909790039,414.554443359375,3.0,27.0,0.0,0.0,False,222,0,69,-3.3575751781463623,-3.3575751781463623,,1,up_right_fast,718,3.61572265625,,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,0,,fast_mode,38,始符「エフェメラリティ137」,resolved_live_spell_state
LUN-S2-F70750-T1,70750,0,2,Stage 3,298.8875427246094,423.28570556640625,4.0,46.0,1.0,1.0,False,264,190,27,-4.050951957702637,-5.211007219809596,,3,up_left,732,2.20245361328125,57,3.834196174884436,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,14,0,,fast_mode,50,虚史「幻想郷伝説」,resolved_live_spell_state
LUN-S3-F72878-T1,72878,0,3,Stage 4A / Reimu,18.80971908569336,428.51171875,3.0,39.0,0.0,0.0,False,536,0,0,-1.2579834461212158,-1.2579834461212158,,1,up_right_fast,719,2.1568222045898438,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,2,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
