case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F2022-T1,2022,0,0,Stage 1,376.0,16.0,3.0,5.0,0.0,0.0,False,222,0,0,-3.3072845935821533,-3.3072845935821533,-2.2320925778214757,3,down_fast,1434,-0.8927154541015625,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,17,27,1995,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S0-F6800-T1,6800,0,0,Stage 1,376.0,432.0,3.0,7.0,0.0,0.0,False,83,0,12,-3.0499935150146484,-3.0499935150146484,2.5848825185919804,3,up_fast,1144,4.011627197265625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,4,161,6639,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S0-F14412-T1,14412,0,0,Stage 1,15.077816009521484,343.05572509765625,3.0,4.0,0.0,0.0,False,453,0,105,-0.9592584371566772,-2.8957877159118652,,1,down_left_fast,1006,-1.5360107421875,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,27,94,14318,,5,灯符「ファイヤフライフェノメノン」,resolved_live_spell_state
LUN-S1-F23386-T1,23386,0,1,Stage 2,98.44387817382812,412.86102294921875,3.0,11.0,0.0,0.0,False,159,0,0,-3.0521597862243652,-3.0521597862243652,-8.889031410217285,2,left_fast,1484,3.1737518310546875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,70,23316,corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S1-F25724-T1,25724,0,1,Stage 2,329.2303466796875,432.0,3.0,1.0,0.0,0.0,False,206,0,1,-2.435565233230591,-2.5819449424743652,-22.866844765900645,1,left_fast,353,1.165740966796875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,10,56,25668,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S1-F33535-T1,33535,0,1,Stage 2,269.8434143066406,370.49261474609375,3.0,3.0,0.0,0.0,False,451,0,11,-2.602374315261841,-2.7487845420837402,7.469530643655295,1,stay,467,0.479248046875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,4,148,33387,,,,no_active_spell_at_hit
LUN-S1-F39097-T1,39097,0,1,Stage 2,372.747314453125,428.747314453125,3.0,0.0,0.0,0.0,False,114,0,8,-1.2424499988555908,-1.2424499988555908,3.3325671810631583,2,up_left,492,4.435760498046875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,9,117,38980,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F45508-T1,45508,0,2,Stage 3,371.4000244140625,428.623779296875,3.0,7.0,0.0,0.0,False,263,0,1,0.2942141592502594,-2.1880855560302734,-4.653106886507782,3,up_left_fast,459,-1.9052734375,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,6,122,45386,playfield_boundary;corridor_deadline_miss,,,no_active_spell_at_hit
LUN-S2-F46718-T1,46718,0,2,Stage 3,326.54339599609375,432.0,3.0,15.0,0.0,0.0,False,491,0,7,-2.1345572471618652,-2.1345572471618652,,2,down_left_fast,1487,0.918182373046875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,12,239,46479,playfield_boundary,,,no_active_spell_at_hit
LUN-S2-F47098-T1,47098,0,2,Stage 3,361.71630859375,432.0,4.0,5.0,1.0,1.0,False,368,0,11,-3.321990966796875,-3.321990966796875,6.460833183099151,2,up_left,244,1.65618896484375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,8,76,47022,playfield_boundary;fast_mode,,,no_active_spell_at_hit
