case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,contributing_factors,bomb_input_verified_absent
LUN-S2-F1850-T1,canonical_fresh_attempt_causal_sample,1850,,,186.34597778320312,372.1739196777344,128.0,down_right_fast,161,up_left_fast,151,0,-1.9451810121536255,-1.9451810121536255,-8.300465598497055,3.62847900390625,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;fast_mode,True
LUN-S2-F2703-T1,post_respawn_discovery_sample,2703,,,220.97000122070312,378.1605224609375,125.0,down_right_fast,161,right_fast,304,0,-1.9212830066680908,-1.9212830066680908,-7.5506510120034065,-1.727691650390625,,observed_bullet_overlap,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;action_lag_over_model;fast_mode,True
LUN-S2-F7377-T1,post_respawn_discovery_sample,7377,,,28.922222137451172,322.8038024902344,117.0,up_right_fast,145,up_right_fast,471,0,-1.834834337234497,-1.834834337234497,-4.595321419173409,1.752105712890625,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;fast_mode,True
LUN-S2-F12441-T1,post_respawn_discovery_sample,12441,,,190.28427124023438,279.6719970703125,120.0,up_left_fast,81,left_fast,401,0,-1.636449933052063,-1.636449933052063,-10.662078555869584,2.188018798828125,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;fast_mode,True
LUN-S2-F16182-T1,post_respawn_discovery_sample,16182,38,始符「エフェメラリティ137」,283.98248291015625,416.468994140625,114.0,left_fast,65,left_fast,273,0,-2.5810604095458984,-2.5810604095458984,-11.495620727539062,3.054931640625,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;fast_mode,True
LUN-S2-F21418-T1,post_respawn_discovery_sample,21418,,,213.26528930664062,410.4781494140625,102.0,up_left_fast,81,up_right_fast,436,0,-3.0848724842071533,-3.0848724842071533,0.17335355281829834,0.182159423828125,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,fast_mode,True
LUN-S2-F23938-T1,post_respawn_discovery_sample,23938,46,国体「三種の神器　郷」,193.8665771484375,422.368408203125,88.0,up_fast,17,up_fast,406,0,-3.071337938308716,-3.071337938308716,-9.078287211032777,0.71307373046875,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss;fast_mode,True
LUN-S2-F24358-T1,post_respawn_discovery_sample,24358,46,国体「三種の神器　郷」,181.246337890625,390.31671142578125,81.0,up_left_fast,81,right_fast,426,0,-0.1981564462184906,-1.559148907661438,-3.920455525417694,-1.27630615234375,,observed_bullet_overlap,committed_prefix_unsafe_before_hit,2,corridor_deadline_miss;fast_mode,True
LUN-S2-F25203-T1,post_respawn_discovery_sample,25203,50,虚史「幻想郷伝説」,92.78326416015625,388.62322998046875,92.0,up_right_fast,145,up_fast,265,200,1.056462049484253,-3.9082055987035345,-6.500373404998733,-1.269073486328125,10.495434467076475,observed_bullet_overlap,committed_prefix_unsafe_before_hit,3,corridor_deadline_miss;fast_mode,True
LUN-S2-F25538-T1,post_respawn_discovery_sample,25538,50,虚史「幻想郷伝説」,168.96530151367188,408.10699462890625,86.0,up_right_fast,145,up_fast,305,200,-2.363818407058716,-2.448450146423486,-4.940972864627838,2.215545654296875,13.812892203357457,modeled_committed_prefix_collision,committed_prefix_unsafe_before_hit,3,corridor_deadline_miss;fast_mode,True
LUN-S2-F26300-T1,post_respawn_discovery_sample,26300,50,虚史「幻想郷伝説」,196.69432067871094,403.25927734375,72.0,down_left,101,up_fast,268,200,-2.7960262298583984,-2.7960262298583984,-9.946209617137455,0.0259552001953125,4.453339747813631,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,corridor_deadline_miss,True
