case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,contributing_factors,bomb_input_verified_absent
LUN-S2-F1052-T1,canonical_fresh_attempt_causal_sample,1052,,,308.11767578125,158.68206787109375,128.0,up_fast,17,360,0,-2.103350877761841,-3.8506217002868652,-25.046676984035066,-3.504180908203125,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F7266-T1,post_respawn_discovery_sample,7266,,,39.694862365722656,369.1419677734375,128.0,up,21,496,0,0.02857665717601776,-0.6554616689682007,-12.815468828005045,-2.0751953125,,observed_bullet_overlap,corridor_deadline_miss,True
LUN-S2-F17008-T1,post_respawn_discovery_sample,17008,42,野符「GHQクライシス」,287.42193603515625,407.54449462890625,128.0,left_fast,65,477,0,0.745190441608429,-1.9823964834213257,-26.751747177946754,-1.636016845703125,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F17750-T1,post_respawn_discovery_sample,17750,42,野符「GHQクライシス」,127.26092529296875,419.05877685546875,112.0,right_fast,129,489,0,-1.7514221668243408,-2.3473873138427734,-12.563448369503021,-2.064544677734375,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F23194-T1,post_respawn_discovery_sample,23194,46,国体「三種の神器　郷」,356.8931884765625,427.51287841796875,96.0,left_fast,65,523,0,0.823101818561554,-2.4055228233337402,-11.13897228599589,-0.033477783203125,,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F24710-T1,post_respawn_discovery_sample,24710,50,虚史「幻想郷伝説」,92.89518737792969,432.0,87.0,up_fast,17,337,200,-3.438555955886841,-3.438555955886841,-6.7527113321534955,1.0234603881835938,-5.042834758655246,observed_laser_overlap,playfield_boundary;corridor_deadline_miss;action_lag_over_model;fast_mode,True
LUN-S2-F25036-T1,post_respawn_discovery_sample,25036,50,虚史「幻想郷伝説」,202.3201446533203,420.686279296875,72.0,right_fast,129,284,190,0.03889159858226776,0.03889159858226776,-3.2646683291385017,-1.562255859375,4.319685712890518,observed_bullet_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F25475-T1,post_respawn_discovery_sample,25475,50,虚史「幻想郷伝説」,191.2646484375,416.0,58.0,left_fast,65,263,200,1.4089171886444092,-3.1206259727478027,-11.721215883805709,1.222137451171875,18.239275571012076,active_laser_without_observed_overlap,corridor_deadline_miss;fast_mode,True
LUN-S2-F25865-T1,post_respawn_discovery_sample,25865,50,虚史「幻想郷伝説」,191.5073699951172,431.0599365234375,44.0,up_left_fast,81,262,181,-5.329106377295748,-6.291528141298098,-14.107013747535355,7.17525032980893,0.6906229365804624,modeled_committed_prefix_collision,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S2-F26219-T1,post_respawn_discovery_sample,26219,50,虚史「幻想郷伝説」,134.83148193359375,423.51470947265625,28.0,up_left_fast,81,246,162,0.19285278022289276,-3.1716704036183283,-10.0117656664804,-2.435577392578125,14.623642498639178,observed_bullet_overlap,corridor_deadline_miss;action_lag_over_model;fast_mode,True
