case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S3-F2572-T1,canonical_fresh_attempt_causal_sample,2572,,,342.89508056640625,426.4052734375,128.0,left_fast,65,left_fast,577,0,0.0337466299533844,0.0337466299533844,13.44598388671875,2.932527912634399,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,0,4,64,2508,fast_mode,True
LUN-S3-F4238-T1,post_respawn_discovery_sample,4238,,,343.8834228515625,423.45294189453125,120.0,stay,5,down_left,999,0,-1.0313599109649658,-1.5662282705307007,-24.119556782732076,-1.2198486328125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,9,94,4144,corridor_deadline_miss,True
LUN-S3-F9330-T1,post_respawn_discovery_sample,9330,,,56.0,425.56549072265625,112.0,right_fast,129,right_fast,684,0,-16.346221923828125,-16.346221923828125,11.108627319335938,25.188469378832476,,observed_enemy_body_overlap,late_collision_after_positive_causal_margin,0,0,0,,fast_mode,True
LUN-S3-F10057-T1,post_respawn_discovery_sample,10057,,,143.6543426513672,427.64849853515625,98.0,stay,5,stay,104,0,-1.824346899986267,-1.824346899986267,-1.6233807847640342,-1.2478485107421875,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,5,12,0,,corridor_deadline_miss,True
LUN-S3-F10839-T1,post_respawn_discovery_sample,10839,,,26.969865798950195,420.43115234375,83.0,stay,5,right,436,0,9.544838905334473,-0.05116882920265198,-0.32879034862098067,11.772977299622747,,observed_enemy_body_overlap,global_viability_kernel_exhausted_before_hit,0,0,29,10810,corridor_deadline_miss;enemy_body_absent_from_action_snapshot,True
LUN-S3-F11952-T1,post_respawn_discovery_sample,11952,57,夢境「二重大結界」,370.2264404296875,421.15777587890625,78.0,up_fast,17,up_fast,618,0,-2.6897950172424316,-2.6897950172424316,8.619558380335354,9.46522231024867,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,5,0,,fast_mode,True
LUN-S3-F12527-T1,post_respawn_discovery_sample,12527,57,夢境「二重大結界」,352.4869689941406,425.128662109375,71.0,left_fast,65,up_fast,610,0,1.1098144054412842,-2.4934444427490234,2.185401833078867,-2.210601806640625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,9,27,12500,fast_mode,True
LUN-S3-F12956-T1,post_respawn_discovery_sample,12956,57,夢境「二重大結界」,334.557861328125,364.30853271484375,56.0,down,37,down_left_fast,610,0,-3.439715623855591,-3.439715623855591,1.5930329664029514,-2.460296630859375,,observed_bullet_overlap,late_collision_after_positive_causal_margin,0,0,0,,,True
LUN-S3-F13355-T1,post_respawn_discovery_sample,13355,57,夢境「二重大結界」,349.7131042480469,348.7044677734375,40.0,left_fast,65,down_right,600,0,-1.9863770008087158,-1.9863770008087158,-0.18065824139090125,-2.131134033203125,,observed_bullet_overlap,late_collision_after_positive_causal_margin,0,0,0,,corridor_deadline_miss;fast_mode,True
LUN-S3-F13771-T1,post_respawn_discovery_sample,13771,57,夢境「二重大結界」,14.636000633239746,429.2667236328125,26.0,up_right_fast,145,up_fast,601,0,-1.9635460376739502,-1.9635460376739502,2.055384635925293,1.0648813247680664,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,8,37,13734,playfield_boundary;fast_mode,True
