case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S7-F7412-T1,canonical_fresh_attempt_causal_sample,7412,,,376.0,53.049346923828125,128.0,stay,5,down_fast,603,0,-24.13665771484375,-24.13665771484375,13.061558858719993,3.017791748046875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,18,26,89,7323,playfield_boundary,True
LUN-S7-F9450-T1,post_respawn_discovery_sample,9450,,,376.0,409.84735107421875,116.0,up_right_fast,145,up_right_fast,307,0,-2.975604295730591,-3.1219840049743652,1.060414047334481,1.91265869140625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,3,14,133,9317,playfield_boundary;fast_mode,True
LUN-S7-F12006-T1,post_respawn_discovery_sample,12006,150,薬符「壺中の大銀河」,376.0,408.75567626953125,100.0,down_right,165,down_right_fast,801,0,0.832135021686554,0.040217041969299316,-1.644866943359375,-1.965545654296875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,12,68,11938,playfield_boundary;corridor_deadline_miss,True
LUN-S7-F12619-T1,post_respawn_discovery_sample,12619,150,薬符「壺中の大銀河」,14.505382537841797,361.83245849609375,96.0,up_fast,17,up_fast,631,0,-4.122389793395996,-6.442474365234375,-5.299903931040433,0.935302734375,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,20,57,12562,corridor_deadline_miss;fast_mode,True
LUN-S7-F13280-T1,post_respawn_discovery_sample,13280,150,薬符「壺中の大銀河」,338.8575439453125,432.0,80.0,up_left_fast,81,left_fast,760,0,-9.459686279296875,-13.916534423828125,-3.024648830789822,0.855438232421875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,12,41,85,13195,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S7-F19335-T1,post_respawn_discovery_sample,19335,,,15.64945125579834,426.3431396484375,68.0,up_right_fast,145,up_right_fast,1094,0,-1.3651611804962158,-1.5115712881088257,,0.4096689224243164,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,2,4,240,19095,pool_density_over_1000;fast_mode,True
LUN-S7-F19791-T1,post_respawn_discovery_sample,19791,,,12.600000381469727,428.40106201171875,52.0,stay,1,up_fast,1089,0,-2.842280626296997,-2.842280626296997,1.8371990162286274,2.522613525390625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,5,67,19724,playfield_boundary;pool_density_over_1000,True
LUN-S7-F21095-T1,post_respawn_discovery_sample,21095,,,371.033203125,424.0,45.0,down_left,101,up,1093,0,0.734478771686554,-1.729253888130188,,-1.19488525390625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,3,8,108,20987,pool_density_over_1000,True
LUN-S7-F37294-T1,post_respawn_discovery_sample,37294,,,376.0,432.0,40.0,stay,5,up_right,630,0,-4.787816524505615,-4.787816524505615,-17.5,7.35479736328125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,5,72,37222,playfield_boundary;corridor_deadline_miss,True
LUN-S7-F37742-T1,post_respawn_discovery_sample,37742,,,203.67385864257812,243.96702575683594,26.0,up_right,149,down_right_fast,502,0,-3.4211699962615967,-5.595613956451416,12.191778188357064,-1.2475128173828125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,13,29,147,37595,,True
