case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S7-F11720-T1,canonical_fresh_attempt_causal_sample,11720,150,薬符「壺中の大銀河」,31.342130661010742,417.85784912109375,128.0,right_fast,129,up_left_fast,428,0,1.7805202007293701,0.0031374990940093994,9.4499406564189,2.4561599276327364,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,0,22,117,11603,fast_mode,True
LUN-S7-F12346-T1,post_respawn_discovery_sample,12346,150,薬符「壺中の大銀河」,364.686279296875,30.23487091064453,123.0,down_left_fast,97,down_left_fast,366,0,-1.0941708087921143,-1.236883282661438,-1.9412815570831299,1.755706787109375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,8,0,,corridor_deadline_miss;fast_mode,True
LUN-S7-F18671-T1,post_respawn_discovery_sample,18671,,,11.029439926147461,432.0,113.0,up_left_fast,81,up_fast,1205,0,-1.6459554433822632,-1.6459554433822632,,4.8255615234375,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,22,236,18435,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F19431-T1,post_respawn_discovery_sample,19431,,,8.0,432.0,106.0,up_right,149,up_fast,1222,0,-3.402378559112549,-3.402378559112549,12.666213989257812,-1.8853759765625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,10,209,19222,playfield_boundary;pool_density_over_1000,True
LUN-S7-F20323-T1,post_respawn_discovery_sample,20323,,,376.0,432.0,92.0,left_fast,65,down_right,1174,0,-3.093066453933716,-3.093066453933716,,-0.234893798828125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,11,238,20085,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S7-F21571-T1,post_respawn_discovery_sample,21571,154,神宝「ブリリアントドラゴンバレッタ」,205.22146606445312,409.0001220703125,79.0,up,21,down_right,99,230,-2.664306204421927,-2.664306204421927,6.895980773549411,4.39190673828125,-1.1526828412362957,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,0,0,107,21464,action_lag_over_model,True
LUN-S7-F21975-T1,post_respawn_discovery_sample,21975,154,神宝「ブリリアントドラゴンバレッタ」,148.28402709960938,410.71600341796875,73.0,right_fast,129,stay,107,205,0.8678238173099856,-5.635595505386881,-6.661059542435808,29.30981827683026,-2.2464590583386066,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,4,4,50,21925,corridor_deadline_miss;fast_mode,True
LUN-S7-F22359-T1,post_respawn_discovery_sample,22359,154,神宝「ブリリアントドラゴンバレッタ」,246.22854614257812,432.0,67.0,up_left,85,up_left+deadline_hold,103,210,0.7387311374013037,0.7387311374013037,7.518829584121704,11.097652945917464,2.9086746439169104,active_laser_without_observed_overlap,global_viability_kernel_exhausted_before_hit,0,11,62,22297,playfield_boundary;action_lag_over_model,True
LUN-S7-F22768-T1,post_respawn_discovery_sample,22768,154,神宝「ブリリアントドラゴンバレッタ」,218.84918212890625,432.0,52.0,up_left_fast,81,up_fast,110,225,-4.155065536499023,-4.155065536499023,-0.12777746262974077,3.546539306640625,8.966957037270177,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,3,13,22755,playfield_boundary;corridor_deadline_miss;fast_mode,True
LUN-S7-F36391-T1,post_respawn_discovery_sample,36391,,,359.89312744140625,432.0,48.0,up_right_fast,145,up_right_fast,711,0,-2.574176073074341,-2.574176073074341,11.744705200195312,7.688385009765625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,4,11,53,36338,playfield_boundary;fast_mode,True
